id,created_at,updated_at,is_watched,show_on,video_details_id_id,hotel_id_id,flag
47,"2018-05-07 09:52:36.755083","2018-03-26 07:11:08.591530",1,"2018-05-07 09:52:36.755124",18,2,T
48,"2018-05-07 09:52:36.857288","2018-03-26 07:13:32.145154",1,"2018-05-07 09:52:36.857328",19,2,T
49,"2018-04-19 10:32:43.156341","2018-04-19 10:32:43.155230",1,"2018-04-19 10:32:43.156359",80,2,T
50,"2018-05-07 09:52:36.962229","2018-03-26 09:36:19.968196",1,"2018-05-07 09:52:36.962249",163,2,T
51,"2018-05-07 09:52:37.064197","2018-03-26 10:52:48.761064",1,"2018-05-07 09:52:37.064243",162,2,T
52,"2018-05-07 09:52:37.168879","2018-03-26 10:52:05.721989",1,"2018-05-07 09:52:37.168923",72,2,T
53,"2018-05-07 09:52:37.271285","2018-03-26 10:52:27.115792",1,"2018-05-07 09:52:37.271343",25,2,T
54,"2018-05-07 09:52:37.373513","2018-03-27 10:05:33.846219",1,"2018-05-07 09:52:37.373574",2,1,T
55,"2018-05-07 09:52:37.476773","2018-03-27 10:05:33.856228",1,"2018-05-07 09:52:37.476820",35,1,T
56,"2018-05-07 09:52:37.580336","2018-03-27 10:05:33.865857",1,"2018-05-07 09:52:37.580382",37,1,T
57,"2018-03-27 13:08:00.971309","2018-03-27 13:08:00.970358",1,"2018-03-27 13:08:00.971326",62,1,T
58,"2018-05-07 09:52:37.684118","2018-03-28 05:52:37.954503",1,"2018-05-07 09:52:37.684171",2,2,T
59,"2018-05-07 09:52:37.786037","2018-03-28 05:52:37.965092",1,"2018-05-07 09:52:37.786082",35,2,T
60,"2018-05-07 09:52:37.897440","2018-03-28 05:52:37.975184",1,"2018-05-07 09:52:37.897485",37,2,T
61,"2018-04-18 06:51:31.732510","2018-04-18 06:51:31.731403",1,"2018-04-18 06:51:31.732525",134,2,T
62,"2018-05-07 09:52:38.000993","2018-03-28 09:33:22.665633",1,"2018-05-07 09:52:38.001075",134,1,T
