id,created_at,updated_at,subject,attribute,department,domain
78,"2018-03-09 19:47:29.988585",NULL,Hotel,Cleanliness,Hotel,Hotel
79,"2018-03-09 19:47:25.947217",NULL,Efficiency,Quality,Hotel,Hotel
80,"2018-03-09 19:46:16.104460",NULL,Efficiency,Cleanliness,Housekeeping,"Room Making"
81,"2018-03-09 20:00:53.887783",NULL,Efficiency,Quality,Housekeeping,"Room Making"
82,"2018-03-09 19:46:58.414640",NULL,Services,Quality,Hotel,Hotel
83,"2018-03-09 19:47:25.155600",NULL,Quality,Quality,Hotel,Hotel
85,"2018-03-09 20:01:11.645417",NULL,Bed,Quality,Housekeeping,Offering
86,"2018-03-09 19:46:25.856770",NULL,Check-Out,Courtesy,"Front Office",Check-in/Check-out
87,"2018-03-09 19:46:29.418529",NULL,Courtesy,Cleanliness,Housekeeping,"Room Making"
88,"2018-03-09 19:46:29.814324",NULL,Courtesy,Quality,Housekeeping,"Room Making"
89,"2018-03-09 19:46:33.783562",NULL,Food,Taste,"Food & Beverage","Food Production"
90,"2018-03-09 19:46:34.183521",NULL,Food,Location,"Food & Beverage","Food Production"
92,"2018-03-09 19:46:36.179830",NULL,Efficiency,Courtesy,Hotel,Hotel
93,"2018-03-09 20:00:47.099069",NULL,Food,Courtesy,"Food & Beverage",Service
94,"2018-03-09 19:46:36.974965",NULL,Services,Courtesy,Hotel,Hotel
95,"2018-03-09 19:46:37.384769",NULL,Staff,Efficiency,Hotel,Hotel
96,"2018-03-09 19:46:39.385191",NULL,Room,Temperature,Hotel,Hotel
97,"2018-03-09 19:46:39.784926",NULL,Menu,Accuracy,Hotel,Hotel
98,"2018-03-09 20:01:04.956202",NULL,Beverage,Ambience,"Food & Beverage","Food Production"
99,"2018-03-09 20:01:05.327189",NULL,Beverage,Temperature,"Food & Beverage","Food Production"
100,"2018-03-09 19:47:01.818184",NULL,"Water Supply",Ambience,"Food & Beverage","Food Production"
101,"2018-03-09 19:47:02.267262",NULL,"Water Supply",Temperature,"Food & Beverage","Food Production"
102,"2018-03-09 19:46:55.210890",NULL,Quality,Cleanliness,Housekeeping,"Room Making"
